Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/compare/[id],248,0,13,18.735144838501583,6.318528998235706,218.7276509939693,2569.5887096774195,4.195722966438069,0.0,13,17,21,23,32,39,130,150,220,220,220
GET,/api/metrics,202,0,14,23.450868707970027,2.9071800017845817,353.68891499820165,583.6683168316831,3.417484029114879,0.0,14,19,22,25,37,55,130,220,350,350,350
GET,/api/recommend/[id],6518,72,11,16.8727721287278,3.3176609940710478,372.19273999653524,1230.4927891991408,110.27307377114248,1.2181131192884715,11,16,20,22,31,43,70,110,220,370,370
GET,/api/user/[id],664,0,6,11.649147661013426,1.7504749994259328,156.40281300147763,1391.7228915662652,11.233709877882571,0.0,6,11,14,17,24,36,57,99,160,160,160
,Aggregated,7632,72,11,16.65292900693384,1.7504749994259328,372.19273999653524,1270.9139150943397,129.119990644578,1.2181131192884715,11,16,19,22,30,42,72,110,220,370,370
